"","TARGET_deathRate","incidenceRate","medIncome","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","BirthRate"
"1",164.9,489.8,61898,11.2,39.3,2.54,52.5,6.118831029
"2",161.3,411.6,48127,18.6,33,2.34,44.5,4.333095578
"3",174.7,349.7,49348,14.6,45,2.62,54.2,3.729487817
"4",194.8,430.4,44243,17.1,42.8,2.52,52.7,4.603840773
"5",144.4,350.1,49955,12.5,48.3,2.34,57.8,6.796657382
"6",176,505.4,52313,15.6,45.4,2.58,50.4,4.964476021
"7",175.9,461.8,37782,23.2,42.6,2.42,54.1,4.204317269
"8",183.6,404,40189,17.8,51.7,2.24,52.7,5.889178996
"9",190.5,459.4,42579,22.3,49.3,2.38,55.9,5.587583149
"10",177.8,510.9,60397,13.1,35.8,2.65,50,5.533430211
"11",121.4,413.3,54721,12.7,54.4,2.04,56.8,4.586129754
"12",172.7,499.3,51395,15.7,41,2.56,53.6,5.818153266
"13",188.3,398.9,52673,12.6,45.2,2.49,54.4,4.805591962
"14",165.3,493.4,71890,9.9,37.6,2.68,52.1,4.729251068
"15",171,440.7,50083,16.3,37.2,2.45,49.4,5.355835918
"16",174.2,423.8,43823,19.3,46.2,2.44,57.2,3.631082062
"17",169.9,495.9,61653,11.9,38.5,2.52,52.4,5.180155167
"18",153.8,463.2,51022,13.9,52.1,2.31,53.5,0.535475234
"19",162.8,442.5,49819,15.7,36.9,2.5,46.5,4.138710893
"20",163.3,490.9,53733,15.7,36.5,2.53,47.5,4.4729858
"21",140.8,390.5,41837,28.4,24.2,2.31,36.1,3.304159034
"22",169.4,411,44342,20.5,32.5,3.05,48.6,6.560611666
"23",189.7,445.2,35615,21.5,41.5,2.68,52,2.292860865
"24",206.1,463.1,56737,13.2,38.4,0.0263,51.8,4.872468117
"25",236.7,501.8,37625,22.1,41.9,2.5,55.2,4.220287661
"26",196.3,396.6,33817,22.2,44.5,2.51,52.4,5.469020422
"27",186.2,481.6,43572,15.1,45.9,2.26,50.3,4.970530452
"28",194,483.4,34887,21.9,38.5,2.32,43,4.521925134
"29",226.5,459.9,32162,21.8,47,2.44,55.7,4.780114723
"30",212.9,591,32961,25.1,43.3,2.62,55.8,8.753056235
"31",185.6,234,41838,17.4,43.7,2.85,45.8,6.016466118
"32",217,457,36739,21.4,43.2,2.47,50.9,6.526136485
"33",209.9,463.1,32705,28.9,38.4,2.4,43.2,2.328431373
"34",128,356.3,41039,17,45.6,0.028,50.5,3.528435035
"35",195.1,494.9,36996,21.1,45.3,2.28,52.2,4.354354354
"36",212.1,475.1,35980,21.2,44.6,2.25,38.7,2.28320067
"37",184.1,495,48178,12.9,45.6,2.32,51.8,5.693029274
"38",153,374.9,41010,15.3,44.5,2.69,50.1,2.955003358
"39",206.7,506.6,42121,13.9,42,2.48,52.4,5.060383303
"40",194.2,475.8,41121,16.7,42.6,2.62,54.5,4.735242361
"41",178.2,423.7,66950,10.2,39.7,2.65,53.3,4.995519713
"42",205.4,508.7,43936,16.8,42.8,2.28,47.9,4.091266719
"43",218.4,553,40568,20,43.3,2.48,50.6,4.374100719
"44",226.9,513.2,34295,24.4,41.9,2.69,50.6,2.635983264
"45",240.1,523.9,36437,20.2,42.6,2.5,53.1,4.195713917
"46",234.8,457.1,24707,34.9,44.1,2.39,46,3.860072376
"47",188.8,510.9,43729,17.9,41.1,2.47,51,5.113459745
"48",184.6,456.3,43356,15.2,44.3,2.36,57.7,3.174132305
"49",209.5,463.4,35799,20.6,43,2.44,51.6,3.66910141
"50",210,493.8,35046,20.5,42.3,2.39,50.6,4.807972069
"51",198.4,456.6,40012,16.1,43.2,2.4,44.2,7.391231312
"52",240.8,507,29839,28.1,41.7,2.38,55.6,2.796024928
"53",155.9,444.5,43835,22.5,30,2.56,37.2,4.001671717
"54",190.7,434.6,36351,19.3,46.6,2.3,56.8,6.07651913
"55",209.7,425.4,44446,13,46.1,2.36,47.7,4.090035685
"56",199.8,455.5,36375,19.6,43.4,2.39,57.9,3.346456693
"57",184.4,500.9,40195,18.4,43.3,2.24,45.2,3.257226644
"58",139.8,381.8,38204,16.7,49.1,2.35,55.3,7.611940299
"59",213.3,458.9,44801,16.5,43.6,2.43,55,2.966381015
"60",176.8,384.8,34341,17.6,48.4,2.24,56.4,4.256631709
"61",169.8,435.3,41420,17.6,42.3,2.52,53.3,4.038301415
"62",171.5,497.2,59472,10,41,2.6,57.4,6.034482759
"63",198.2,469.6,40270,17.7,41.6,2.4,51.3,3.77850558
"64",168.6,405.2,37468,20.8,43.2,2.35,52.2,4.231027535
"65",214.7,502,46383,17.7,45.2,2.56,49.5,6.267539757
